ID;name;description;brand;price;currency;quantityInStock;categoryID;supplierID;firstReleaseDate;isActive
3e7c5d9f-5a2b-4b8e-9c1d-6e8f3b0c5e1d;Camping Tent;4-person camping tent;OutdoorsPro;149.99;CAD;70;6d89d239-f9ec-4eae-94f1-1b93d5f6b9c3;b17c1a4b-75f3-41bc-8371-d4eaf07b29c0;2024-04-20;true
4b0e3f25-24d2-4c16-9b3c-3f2e2d7a8e3c;Air Fryer Pro;High-capacity air fryer with presets;ChefMaster;129.99;USD;80;dbe6d295-73a8-41f4-b4e4-1d9d6f8e5a53;7ab90843-9a63-4d15-91a2-7c7481c889c5;2024-03-20;true
5d7f8d3e-91b3-4b8d-b60b-c7f2d8f6e2d7;Cooking for Beginners;Easy recipes for novice chefs;QuickCook;15.99;EUR;200;3f5bb73b-d0d3-4c1d-89c0-fd0c4a6a5736;11c7a6b1-3fd1-44e8-b062-e73c8b7c63f0;2024-02-05;true
6a0a452d-60ec-4c6a-8b8c-5b8d7e7e7b8a;Smartphone X1;Latest smartphone with 8GB RAM;TechWave;799.99;USD;150;e6b34e4d-9290-4b98-9b3b-4b4fba9e63d4;c67e3407-f3d2-4e29-9e4c-cf6f30db99b0;2024-01-15;true
6a1d9b6e-8f3b-4a2e-bf4e-9d8a7c5f2e9d;Sports Watch;Water-resistant sports watch with GPS;TimeTrack;199.99;JPY;120;cd5d83bc-29f4-43d4-bb62-cae5c074ce3e;9b0c7a2e-8f1a-4d5b-8d6e-9c5e7b8f9a1e;2024-04-12;true
7d8b2e1f-4a7b-4c5a-9f3c-5f6e7d9b8e0a;Blender Pro;High-performance kitchen blender;BlendMaster;129.99;USD;65;e1e29d9b-6a92-43c5-b10d-fc6d62c6c9b7;f4a5d2e8-7e9c-4b7d-9c5a-4e0b6d9c2f8a;2024-02-20;true
7e1c6f2b-9b3a-4a7b-8c2d-9f8e0c5d6e3a;"Smart TV 50""";50-inch smart TV with 4K resolution;Visionary;999.99;USD;70;e6b34e4d-9290-4b98-9b3b-4b4fba9e63d4;a4e327d6-54d8-4f1b-90ef-5402dc017930;2024-01-15;true
7f8e6d2b-4c9a-4b8e-9c7e-1b8e9f5c6e3d;Office Chair;Ergonomic office chair;WorkEase;149.99;USD;85;18cf5a6b-f6d6-4c42-bcbb-4c86b3d7f40b;7d5f4ac1-1dc6-438f-bc8c-9c0b51c873a7;2024-03-20;true
8a9b2c6e-4d3f-4b8e-9c7e-1b8e9f2c6d0a;Electric Drill;Cordless electric drill;DrillPro;79.99;USD;95;0a5e57f8-79a2-4df4-a9a5-028d0b3e7c43;7d5f4ac1-1dc6-438f-bc8c-9c0b51c873a7;2024-02-05;true
8b2e3d9f-5a8d-4b7a-9c0b-1f2c8e3d4f5a;Kitchen Knife Set;Professional kitchen knives with block;SharpEdge;89.99;USD;75;e1e29d9b-6a92-43c5-b10d-fc6d62c6c9b7;5d5b7c2b-31b2-4c66-9d8f-95a4d46e6b23;2024-03-01;true
8b6a1c7e-9d4b-4a7e-9c3d-1b5c8e9b0e7a;Winter Jacket;Heavy-duty winter jacket;ColdFront;249.99;CAD;55;baf93f4a-f5e3-4a1b-9ec7-8e79b5b22c84;7d5f4ac1-1dc6-438f-bc8c-9c0b51c873a7;2024-02-01;true
